fragment.length	read.num	frame1	frame2	frame3
18	57527	0.24765	0.18726	0.56509
19	82075	0.30830	0.13780	0.55390
20	139055	0.24950	0.17509	0.57541
21	315151	0.22855	0.07628	0.69517
22	274991	0.55665	0.08264	0.36071
23	149563	0.46799	0.16083	0.37118
24	140548	0.32291	0.16745	0.50964
25	196210	0.37556	0.12994	0.49451
26	264114	0.35046	0.18178	0.46776
27	407288	0.25138	0.14752	0.60110
28	550350	0.25415	0.12467	0.62117
29	545898	0.25380	0.08940	0.65680
30	316280	0.35137	0.08303	0.56560
31	127064	0.47935	0.09475	0.42589
32	45692	0.40447	0.16092	0.43461
33	25729	0.31811	0.17462	0.50727
34	21762	0.38656	0.11938	0.49406
35	24584	0.42005	0.13753	0.44242
